id,Project,TeamExp,ManagerExp,YearEnd,Length,Effort,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language,source,deadline_missed
1,1,1,4,85,12,5152,253,52,305,34,302,1,real,1
2,2,0,0,86,4,5635,197,124,321,33,315,1,real,1
3,3,4,4,85,1,805,40,60,100,18,83,1,real,1
4,4,0,0,86,5,3829,200,119,319,30,303,1,real,1
5,5,0,0,86,4,2149,140,94,234,24,208,1,real,1
6,6,0,0,86,4,2821,97,89,186,38,192,1,real,1
7,7,2,1,85,9,2569,119,42,161,25,145,2,real,0
8,8,1,2,83,13,3913,186,52,238,25,214,1,real,0
9,9,3,1,85,12,7854,172,88,260,30,247,1,real,1
10,10,3,4,83,4,2422,78,38,116,24,103,1,real,0
11,11,4,1,84,21,4067,167,99,266,24,237,1,real,0
12,12,2,1,84,17,9051,146,112,258,40,271,1,real,1
13,13,1,1,84,3,2282,33,72,105,19,88,1,real,1
14,14,3,4,85,8,4172,162,61,223,32,216,1,real,0
15,15,4,4,85,9,4977,223,121,344,28,320,1,real,1
16,16,3,2,85,8,1617,119,48,167,26,152,2,real,1
17,17,4,3,85,8,3192,57,43,100,43,108,1,real,0
18,18,4,4,86,14,3437,68,316,384,20,326,2,real,0
19,19,3,4,87,14,4494,9,386,395,21,340,2,real,1
20,20,4,2,86,5,840,58,34,92,29,86,1,real,1
21,21,4,4,86,12,14973,318,269,587,34,581,2,real,1
22,22,2,4,85,18,5180,88,170,258,34,255,1,real,0
23,23,2,4,86,5,5775,306,132,438,37,447,1,real,1
24,24,4,1,87,20,10577,304,78,382,39,397,1,real,0
25,25,1,4,86,8,3983,89,200,289,33,283,1,real,0
26,26,4,1,85,14,3164,86,230,316,33,310,1,real,0
27,27,2,0,86,6,3542,71,235,306,37,312,1,real,1
28,28,3,1,85,14,4277,148,324,472,39,491,1,real,0
29,29,4,4,85,16,7252,116,170,286,27,263,1,real,1
30,30,4,1,85,14,3948,175,277,452,37,461,1,real,0
31,31,4,3,86,6,3927,79,128,207,27,190,1,real,1
32,32,1,1,86,9,710,145,38,183,27,168,3,real,0
33,33,4,4,87,9,2429,174,78,252,41,267,3,real,0
34,34,1,1,85,5,6405,194,91,285,35,285,1,real,1
35,35,2,2,88,3,651,126,49,175,38,180,3,real,0
36,36,1,3,86,17,9135,317,119,436,34,432,2,real,1
37,37,2,4,87,11,1435,289,88,377,28,351,3,real,0
38,38,-1,-1,87,8,5922,260,144,404,24,360,1,real,1
39,39,1,4,88,4,847,158,59,217,18,180,3,real,1
40,40,3,3,88,16,8050,302,145,447,52,523,2,real,0
41,41,1,1,87,9,4620,451,48,499,28,464,1,real,1
42,42,2,4,87,34,2352,661,132,793,23,698,3,real,0
43,43,1,1,88,10,2174,64,54,118,25,106,1,real,0
44,44,-1,4,86,39,19894,284,230,514,50,591,1,real,1
45,45,2,1,86,18,6699,182,126,308,35,308,1,real,0
46,46,2,3,87,27,14987,173,332,505,19,424,1,real,1
