TeamExp,ManagerExp,YearEnd,Length,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Transactions_per_Length,Entities_per_Length,Transactions_per_Entity,Adjustment_Ratio,Experience_Gap,Language_1,Language_2,Language_3,Complexity_Score,Experience_Ratio,Point_size_Small,Point_size_Medium,Point_size_Large,Point_size_Very Large,Total_Experience
4,3,87,24,109,178,284,39,293,4,7,0,0,1,1,0,0,193,1,0,0,1,0,7
3,7,85,9,82,58,146,29,141,9,6,1,0,-4,0,1,0,93,0,0,1,0,0,10
4,1,85,25,634,114,707,46,711,25,4,5,0,3,1,0,0,486,2,0,0,0,1,5
1,7,86,25,224,93,287,6,237,8,3,2,0,-6,1,0,0,184,0,0,1,0,0,8
3,7,84,13,145,177,315,6,218,11,13,0,0,-4,0,1,0,180,0,0,1,0,0,10
2,1,84,17,250,135,440,22,354,14,7,1,0,-2,1,0,0,246,1,0,0,1,0,3
1,3,85,11,71,123,205,12,153,6,11,0,0,-2,1,0,0,115,0,0,1,0,0,4
4,4,87,12,123,235,276,38,291,10,19,0,0,0,0,1,0,216,0,0,0,1,0,8
2,4,86,13,115,92,201,18,170,8,7,1,0,-2,1,0,0,125,0,0,1,0,0,6
3,3,86,4,55,30,85,34,86,13,7,1,0,0,0,1,0,57,0,1,0,0,0,6
4,4,86,13,680,42,333,36,357,52,3,16,0,0,0,1,0,359,0,0,0,1,0,8
1,4,85,7,149,109,373,6,314,21,15,1,0,-3,1,0,0,190,0,0,0,1,0,5
2,4,87,26,311,336,622,45,697,11,12,0,0,-2,0,0,1,448,0,0,0,0,1,6
1,0,85,15,220,311,599,29,499,14,20,0,0,1,1,0,0,343,1,0,0,1,0,1
2,4,86,4,75,36,100,14,80,18,9,2,0,-2,1,0,0,63,0,1,0,0,0,6
4,4,86,12,318,269,587,34,581,26,22,1,0,0,0,1,0,389,0,0,0,0,1,8
1,2,83,4,46,37,81,18,87,11,9,1,0,-1,1,0,0,56,0,1,0,0,0,3
3,4,85,4,69,77,212,29,190,17,19,0,0,-1,0,0,1,112,0,0,1,0,0,7
2,3,86,5,93,170,320,22,301,18,34,0,0,-1,1,0,0,188,0,0,0,1,0,5
1,0,85,9,97,261,331,40,343,10,29,0,0,1,1,0,0,233,1,0,0,1,0,1
4,0,84,5,137,224,379,19,316,27,44,0,0,4,0,0,1,225,4,0,0,1,0,4
1,1,87,8,164,128,310,38,358,20,16,1,0,0,1,0,0,216,0,0,0,1,0,2
3,3,83,8,120,78,198,43,222,15,9,1,0,0,1,0,0,140,0,0,1,0,0,6
1,1,86,12,103,44,147,6,103,8,3,2,0,0,0,1,0,83,0,0,1,0,0,2
0,2,85,15,451,186,685,32,674,30,12,2,0,-2,1,0,0,437,0,0,0,0,1,2
1,2,83,12,169,127,342,33,354,14,10,1,0,-1,1,0,0,216,0,0,0,1,0,3
2,1,85,5,80,99,172,32,179,16,19,0,0,1,0,1,0,119,1,0,1,0,0,3
1,2,87,5,74,43,117,25,105,14,8,1,0,-1,0,1,0,74,0,0,1,0,0,3
3,2,85,8,43,44,95,14,88,5,5,0,0,1,1,0,0,58,1,1,0,0,0,5
4,3,87,24,269,83,426,46,474,11,3,3,0,1,0,1,0,275,1,0,0,1,0,7
4,4,85,8,35,41,79,26,70,4,5,0,0,0,0,0,1,48,0,1,0,0,0,8
2,3,82,3,100,44,116,24,110,33,14,2,0,-1,0,0,1,84,0,0,1,0,0,5
4,3,84,6,111,106,242,35,276,18,17,1,0,1,0,0,1,164,1,0,0,1,0,7
0,3,87,4,180,38,167,13,116,45,9,4,0,-3,0,1,0,111,0,0,1,0,0,3
4,2,86,5,58,34,92,29,86,11,6,1,0,2,1,0,0,59,1,1,0,0,0,6
4,0,85,13,96,371,438,31,443,7,28,0,0,4,1,0,0,303,4,0,0,1,0,4
4,2,85,12,138,36,140,39,132,11,3,3,0,2,0,1,0,102,1,0,1,0,0,6
0,4,86,6,97,42,139,6,99,16,7,2,0,-4,0,0,1,79,0,1,0,0,0,4
4,2,84,8,133,55,222,31,204,16,6,2,0,2,1,0,0,130,1,0,1,0,0,6
1,1,86,8,37,114,155,10,115,4,14,0,0,0,1,0,0,88,0,0,1,0,0,2
2,4,87,12,92,91,200,25,191,7,7,1,0,-2,0,1,0,124,0,0,1,0,0,6
1,2,84,12,288,100,427,26,462,24,8,2,0,-1,1,0,0,283,0,0,0,1,0,3
1,0,86,4,70,39,101,18,82,17,9,1,0,1,0,0,1,63,1,1,0,0,0,1
1,2,87,8,87,119,303,39,310,10,14,0,0,-1,0,1,0,172,0,0,0,1,0,3
1,2,87,13,144,93,239,17,207,11,7,1,0,-1,0,1,0,148,0,0,1,0,0,3
4,0,86,8,72,250,264,33,276,9,31,0,0,4,0,1,0,199,4,0,0,1,0,4
2,0,84,16,108,128,316,18,281,6,8,0,0,2,1,0,0,172,2,0,0,1,0,2
1,1,85,8,112,135,291,20,280,14,16,0,0,0,0,1,0,175,0,0,0,1,0,2
3,1,85,13,60,91,147,27,117,4,7,0,0,2,0,1,0,89,1,0,1,0,0,4
2,1,84,17,146,112,258,40,271,8,6,1,0,1,1,0,0,176,1,0,0,1,0,3
