id,Project,TeamExp,ManagerExp,YearEnd,Length,Effort,Transactions,Entities,PointsNonAdjust,Adjustment,PointsAjust,Language,source,deadline_missed,Transactions_per_Length,Entities_per_Length,Transactions_per_Entity,Adjustment_Ratio,Total_Experience,Experience_Gap
1,1,1,4,85,12,5152,253,52,305,34,302,1,real,1,21.083333333333332,4.333333333333333,4.865384615384615,0.11147540983606558,5,-3
2,2,0,0,86,4,5635,197,124,321,33,315,1,real,1,49.25,31.0,1.5887096774193548,0.102803738317757,0,0
3,3,4,4,85,1,805,40,60,100,18,83,1,real,0,40.0,60.0,0.6666666666666666,0.18,8,0
4,4,0,0,86,5,3829,200,119,319,30,303,1,real,1,40.0,23.8,1.680672268907563,0.09404388714733543,0,0
5,5,0,0,86,4,2149,140,94,234,24,208,1,real,1,35.0,23.5,1.4893617021276595,0.10256410256410256,0,0
6,6,0,0,86,4,2821,97,89,186,38,192,1,real,0,24.25,22.25,1.0898876404494382,0.20430107526881722,0,0
7,7,2,1,85,9,2569,119,42,161,25,145,2,real,1,13.222222222222221,4.666666666666667,2.8333333333333335,0.15527950310559005,3,1
8,8,1,2,83,13,3913,186,52,238,25,214,1,real,1,14.307692307692308,4.0,3.576923076923077,0.10504201680672269,3,-1
9,9,3,1,85,12,7854,172,88,260,30,247,1,real,1,14.333333333333334,7.333333333333333,1.9545454545454546,0.11538461538461539,4,2
10,10,3,4,83,4,2422,78,38,116,24,103,1,real,0,19.5,9.5,2.0526315789473686,0.20689655172413793,7,-1
11,11,4,1,84,21,4067,167,99,266,24,237,1,real,0,7.9523809523809526,4.714285714285714,1.6868686868686869,0.09022556390977443,5,3
12,12,2,1,84,17,9051,146,112,258,40,271,1,real,1,8.588235294117647,6.588235294117647,1.3035714285714286,0.15503875968992248,3,1
13,13,1,1,84,3,2282,33,72,105,19,88,1,real,1,11.0,24.0,0.4583333333333333,0.18095238095238095,2,0
14,14,3,4,85,8,4172,162,61,223,32,216,1,real,0,20.25,7.625,2.6557377049180326,0.14349775784753363,7,-1
15,15,4,4,85,9,4977,223,121,344,28,320,1,real,0,24.77777777777778,13.444444444444445,1.8429752066115703,0.08139534883720931,8,0
16,16,3,2,85,8,1617,119,48,167,26,152,2,real,0,14.875,6.0,2.4791666666666665,0.15568862275449102,5,1
17,17,4,3,85,8,3192,57,43,100,43,108,1,real,0,7.125,5.375,1.3255813953488371,0.43,7,1
18,18,4,4,86,14,3437,68,316,384,20,326,2,real,1,4.857142857142857,22.571428571428573,0.21518987341772153,0.052083333333333336,8,0
19,19,3,4,87,14,4494,9,386,395,21,340,2,real,0,0.6428571428571429,27.571428571428573,0.023316062176165803,0.053164556962025315,7,-1
20,20,4,2,86,5,840,58,34,92,29,86,1,real,0,11.6,6.8,1.7058823529411764,0.31521739130434784,6,2
21,21,4,4,86,12,14973,318,269,587,34,581,2,real,1,26.5,22.416666666666668,1.1821561338289963,0.05792163543441227,8,0
22,22,2,4,85,18,5180,88,170,258,34,255,1,real,1,4.888888888888889,9.444444444444445,0.5176470588235295,0.13178294573643412,6,-2
23,23,2,4,86,5,5775,306,132,438,37,447,1,real,1,61.2,26.4,2.3181818181818183,0.08447488584474885,6,-2
24,24,4,1,87,20,10577,304,78,382,39,397,1,real,0,15.2,3.9,3.8974358974358974,0.10209424083769633,5,3
25,25,1,4,86,8,3983,89,200,289,33,283,1,real,1,11.125,25.0,0.445,0.11418685121107267,5,-3
26,26,4,1,85,14,3164,86,230,316,33,310,1,real,0,6.142857142857143,16.428571428571427,0.3739130434782609,0.10443037974683544,5,3
27,27,2,0,86,6,3542,71,235,306,37,312,1,real,1,11.833333333333334,39.166666666666664,0.3021276595744681,0.12091503267973856,2,2
28,28,3,1,85,14,4277,148,324,472,39,491,1,real,0,10.571428571428571,23.142857142857142,0.4567901234567901,0.0826271186440678,4,2
29,29,4,4,85,16,7252,116,170,286,27,263,1,real,0,7.25,10.625,0.6823529411764706,0.0944055944055944,8,0
30,30,4,1,85,14,3948,175,277,452,37,461,1,real,0,12.5,19.785714285714285,0.631768953068592,0.08185840707964602,5,3
31,31,4,3,86,6,3927,79,128,207,27,190,1,real,0,13.166666666666666,21.333333333333332,0.6171875,0.13043478260869565,7,1
32,32,1,1,86,9,710,145,38,183,27,168,3,real,1,16.11111111111111,4.222222222222222,3.8157894736842106,0.14754098360655737,2,0
33,33,4,4,87,9,2429,174,78,252,41,267,3,real,1,19.333333333333332,8.666666666666666,2.230769230769231,0.1626984126984127,8,0
34,34,1,1,85,5,6405,194,91,285,35,285,1,real,1,38.8,18.2,2.131868131868132,0.12280701754385964,2,0
35,35,2,2,88,3,651,126,49,175,38,180,3,real,1,42.0,16.333333333333332,2.5714285714285716,0.21714285714285714,4,0
